Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
1/9/2018,8:20:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,MONTGOMERY AVE @ WISCONSIN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,ACUR,4S,WHITE,Citation,13-411(f),Transportation Article,No,WHITE,F,POTOMAC,MD,MD,A - Marked Patrol,
1/9/2018,8:07:00,MCP,"1st district, Rockville",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 60 MPH IN A POSTED 30 MPH ZONE,ROCKVILLE PIKE @ DODGE ST,39.08077833,-77.14459833,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,ACUR,4S,RED,Citation,21-801.1,Transportation Article,No,HISPANIC,F,ROCKVILLE,MD,MD,I - Marked Moving Radar (Moving),"(39.0807783333333, -77.1445983333333)"
1/9/2018,8:07:00,MCP,"1st district, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,ROCKVILLE PIKE @ DODGE ST,39.08077833,-77.14459833,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,ACUR,4S,RED,Citation,16-112(c),Transportation Article,No,HISPANIC,F,ROCKVILLE,MD,MD,I - Marked Moving Radar (Moving),"(39.0807783333333, -77.1445983333333)"
1/9/2018,8:28:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,VEIRS MILL RD @ ROCKVILLE PIKE,39.08151333,-77.14521167,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,FORD,TK,WHITE,Citation,13-401(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,S - License Plate Recognition,"(39.0815133333333, -77.1452116666667)"
1/9/2018,7:24:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,CEDAR CROFT DR/355,39.00835733,-77.09803483,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,KIA,OPTIMA,WHITE,Citation,13-401(h),Transportation Article,No,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,"(39.0083573333333, -77.0980348333333)"
1/9/2018,7:24:00,MCP,"2nd district, Bethesda",FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,CEDAR CROFT DR/355,39.00835733,-77.09803483,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,KIA,OPTIMA,WHITE,Citation,17-104.2(b2),Transportation Article,No,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,"(39.0083573333333, -77.0980348333333)"
1/9/2018,7:24:00,MCP,"2nd district, Bethesda",KNOWINGLY DRIVING UNINSURED VEHICLE,CEDAR CROFT DR/355,39.00835733,-77.09803483,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,KIA,OPTIMA,WHITE,Citation,17-107(a1),Transportation Article,No,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,"(39.0083573333333, -77.0980348333333)"
1/9/2018,8:26:00,MCP,"2nd district, Bethesda",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,WOODMONT AVE/RUGBY AVE,38.99154333,-77.09662017,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2013,MERZ,GL450,WHITE,Citation,22-406(i1),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(38.9915433333333, -77.0966201666667)"
1/9/2018,8:26:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,WOODMONT AVE/RUGBY AVE,38.99154333,-77.09662017,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2013,MERZ,GL450,WHITE,Citation,13-409(b),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(38.9915433333333, -77.0966201666667)"
1/9/2018,7:24:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,CEDAR CROFT DR/355,39.00835733,-77.09803483,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,KIA,OPTIMA,WHITE,Warning,13-409(b),Transportation Article,No,BLACK,M,CLINTON,MD,MD,A - Marked Patrol,"(39.0083573333333, -77.0980348333333)"
1/9/2018,3:08:00,MCP,"5th district, Germantown",MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,GA/EAST WEST,39.046375,-76.9902,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,"GREEN, DK",Warning,22-206(a),Transportation Article,No,WHITE,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.046375, -76.9902)"
1/9/2018,3:08:00,MCP,"5th district, Germantown",DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,GA/EAST WEST,39.046375,-76.9902,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,4D,"GREEN, DK",Warning,23-104,Transportation Article,No,WHITE,M,WESTMINSTER,MD,MD,A - Marked Patrol,"(39.046375, -76.9902)"
1/9/2018,8:32:00,MCP,"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,UNIVERSITY BLV E / E FRANKLIN AVE,39.01086833,-77.00123167,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,CAMRY,SILVER,Warning,21-801.1,Transportation Article,No,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol,"(39.0108683333333, -77.0012316666667)"
1/9/2018,8:32:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,UNIVERSITY BLV E / E FRANKLIN AVE,39.01086833,-77.00123167,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,CAMRY,SILVER,Warning,13-401(h),Transportation Article,No,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol,"(39.0108683333333, -77.0012316666667)"
1/9/2018,7:12:00,MCP,"2nd district, Bethesda",DRIVING WRONG WAY--ONE WAY STREET,MONTGOMERY AVE AT PEARL ST,38.98422,-77.09066,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2003,HONDA,ODYSSEY,SILVER,Warning,21-308(a),Transportation Article,No,BLACK,M,MANASSAS,VA,VA,A - Marked Patrol,"(38.98422, -77.09066)"
1/9/2018,7:12:00,MCP,"2nd district, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",MONTGOMERY AVE AT PEARL ST,38.98422,-77.09066,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2003,HONDA,ODYSSEY,SILVER,Warning,21-901.1(b),Transportation Article,No,BLACK,M,MANASSAS,VA,VA,A - Marked Patrol,"(38.98422, -77.09066)"
1/9/2018,7:09:00,MCP,"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,OLD GEORGETOWN RD @ AUBURN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,JEEP,GRAND CHEROKEE,WHITE,Warning,21-801.1,Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,Q - Marked Laser,
1/9/2018,8:03:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA AVE @ BEL PRE RD,39.09333,-77.07861833,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2010,PTRB,TK,WHITE,Warning,21-201(a1),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.09333, -77.0786183333333)"
1/9/2018,8:03:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,GEORGIA AVE @ BEL PRE RD,39.09333,-77.07861833,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2010,PTRB,TK,WHITE,Warning,21-202(h1),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.09333, -77.0786183333333)"
1/9/2018,8:30:00,MCP,"5th district, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,SCENERY DR @ BRANDERMILL RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,MERCEDES,C300,WHITE,Warning,21-707(a),Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,
1/9/2018,2:59:00,MCP,"3rd district, Silver Spring",FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,COLUMBIA PIKE (29) /STEWART LN,39.04625,-76.98703833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,TOYT,4S,SILVER,Warning,22-203(b),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04625, -76.9870383333333)"
1/9/2018,8:26:00,MCP,"2nd district, Bethesda",WINDOW TINT,WOODMONT AVE/RUGBY AVE,38.99154333,-77.09662017,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2013,MERZ,GL450,WHITE,ESERO,61,,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(38.9915433333333, -77.0966201666667)"
1/9/2018,6:05:00,MCP,"2nd district, Bethesda",TAILLIGHTS (*),108 @ WARFIELD RD,,,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,CHEV,SILVERADO,RED,ESERO,56*,,No,WHITE,M,MOUNT AIRY,MD,MD,A - Marked Patrol,
1/9/2018,6:05:00,MCP,"2nd district, Bethesda",TURN SIGNALS (*),108 @ WARFIELD RD,,,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,CHEV,SILVERADO,RED,ESERO,71*,,No,WHITE,M,MOUNT AIRY,MD,MD,A - Marked Patrol,
1/9/2018,6:26:00,MCP,"2nd district, Bethesda",TAILLIGHTS (*),AIRPARK RD @ MUNCASTER MILL RD,,,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2009,CHEV,SILVERADO,RED,ESERO,56*,,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
1/9/2018,6:26:00,MCP,"2nd district, Bethesda",STOP LIGHTS (*),AIRPARK RD @ MUNCASTER MILL RD,,,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2009,CHEV,SILVERADO,RED,ESERO,64*,,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
1/9/2018,6:26:00,MCP,"2nd district, Bethesda",REFLECTORS (*),AIRPARK RD @ MUNCASTER MILL RD,,,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2009,CHEV,SILVERADO,RED,ESERO,84*,,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
1/9/2018,7:28:00,MCP,"2nd district, Bethesda",HEADLIGHTS (*),OLD GEORGETOWN RD @ AUBURN AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,POIR,G6,RED,ESERO,55*,,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,
1/9/2018,7:31:00,MCP,"4th district, Wheaton","REARVIEW MIRRORS (*)",GEORGIA AVE @ BEL PRE RD,39.09302517,-77.07800233,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003,FORD,E350,WHITE,ESERO,68*,,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0930251666667, -77.0780023333333)"
1/9/2018,7:31:00,MCP,"4th district, Wheaton",STOP LIGHTS (*),GEORGIA AVE @ BEL PRE RD,39.09302517,-77.07800233,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2003,FORD,E350,WHITE,ESERO,64*,,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0930251666667, -77.0780023333333)"
1/8/2018,8:59:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,SB CONNECITCUT AND GREENLY,39.060525,-77.07329333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYOTA,ECHO,BLUE,Citation,21-801(b),Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.060525, -77.0732933333333)"
1/8/2018,12:47:00,MCP,"4th district, Wheaton",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 45 MPH IN A POSTED 35 MPH ZONE,UNIVERSITY BLVD / AMHERST AVE,39.04201,-77.04796333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,CADI,TK,WHITE,Citation,21-801.1,Transportation Article,No,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04201, -77.0479633333333)"
1/8/2018,0:25:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 51 MPH IN A POSTED 30 MPH ZONE,E/B EAST WEST HWY @ EDGEVALE ST,38.98796,-77.07755833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,FORD,VAN,WHITE,Citation,21-801.1,Transportation Article,No,WHITE,M,GLEN BURNIE,MD,MD,Q - Marked Laser,"(38.98796, -77.0775583333333)"
1/8/2018,18:48:00,MCP,"4th district, Wheaton",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,3901 ASPEN HILL RD SILVER SPRING MD,39.08091667,-77.07846167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,TOYOTA,SCION,BLUE,Citation,16-105(b1),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0809166666667, -77.0784616666667)"
1/8/2018,22:33:00,MCP,"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,DILSTON RD / DILSTON PL,39.01454333,-76.984855,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2001,DODGE,VAN,WHITE,Citation,21-801(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0145433333333, -76.984855)"
1/8/2018,22:33:00,MCP,"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,DILSTON RD / DILSTON PL,39.01454333,-76.984855,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2001,DODGE,VAN,WHITE,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0145433333333, -76.984855)"
1/8/2018,22:33:00,MCP,"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,DILSTON RD / DILSTON PL,39.01454333,-76.984855,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2001,DODGE,VAN,WHITE,Citation,16-101(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0145433333333, -76.984855)"
1/8/2018,22:33:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,DILSTON RD / DILSTON PL,39.01454333,-76.984855,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2001,DODGE,VAN,WHITE,Citation,13-401(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0145433333333, -76.984855)"
1/8/2018,7:24:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,OLD GEORGETOWN @ WOODMONT AVE,38.98614217,-77.09671517,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYT,COROLLA,GRAY,Citation,21-801(b),Transportation Article,No,WHITE,F,CHEVY CHASE,MD,MD,A - Marked Patrol,"(38.9861421666667, -77.0967151666667)"
1/8/2018,17:54:00,MCP,"2nd district, Bethesda",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,ROCKLEDGE DR@ ROCKSPRING DR,39.02557667,-77.13234667,No,No,No,No,No,No,No,No,No,No,TN,02 - Automobile,2010,NISSAN,ALTIMA,WHITE,Citation,13-411(f),Transportation Article,No,BLACK,M,BETHESDA,MD,MD,A - Marked Patrol,"(39.0255766666667, -77.1323466666667)"
1/8/2018,18:56:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,CLARENDON RD/ EXFAIR RD,38.99758667,-77.109745,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,VOLKS,VN,WHITE,Citation,21-801(b),Transportation Article,Yes,ASIAN,F,BETHESDA,MD,WA,A - Marked Patrol,"(38.9975866666667, -77.109745)"
1/8/2018,18:56:00,MCP,"2nd district, Bethesda","FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER, HIGHWAY CONDITIONS",CLARENDON RD/ EXFAIR RD,38.99758667,-77.109745,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,VOLKS,VN,WHITE,Citation,21-801(h),Transportation Article,Yes,ASIAN,F,BETHESDA,MD,WA,A - Marked Patrol,"(38.9975866666667, -77.109745)"
1/8/2018,0:05:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 46 MPH IN A POSTED 30 MPH ZONE,EAST WESY HWY / EDGEVALE RD,38.98801833,-77.07630167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYOTA,CAMRY,SILVER,Citation,21-801.1,Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,Q - Marked Laser,"(38.9880183333333, -77.0763016666667)"
1/8/2018,0:31:00,MCP,"2nd district, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 46 MPH IN A POSTED 30 MPH ZONE,EAST WESY HWY / EDGEVALE RD,38.987875,-77.07784167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,TOYOTA,CAMRY,RED,Citation,21-801.1,Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,Q - Marked Laser,"(38.987875, -77.0778416666667)"
1/8/2018,14:31:00,MCP,"3rd district, Silver Spring",FAILURE TO DRIVE RIGHT OF CENTER,COLESVILLE RD @ METRO ENTRENCE,38.99363167,-77.03042167,No,No,No,No,No,Yes,No,No,No,No,DC,10 - Transit Bus,2015,NEW FLYER,XDE60,GRAY,Citation,21-301(a),Transportation Article,Yes,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(38.9936316666667, -77.0304216666667)"
1/8/2018,15:17:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,CONNECTICUT AVE/KNOWLES AVE,39.024875,-77.07656833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,ODYSSEY,SILVER,Citation,13-411(d),Transportation Article,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.024875, -77.0765683333333)"
1/8/2018,15:17:00,MCP,"2nd district, Bethesda",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,CONNECTICUT AVE/KNOWLES AVE,39.024875,-77.07656833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,ODYSSEY,SILVER,Citation,16-112(c),Transportation Article,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.024875, -77.0765683333333)"
1/8/2018,16:49:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,13623 GEORGIA AVE,39.08039667,-77.07165,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,SILVER,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0803966666667, -77.07165)"
1/8/2018,16:49:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,13623 GEORGIA AVE,39.08039667,-77.07165,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,SILVER,Citation,13-401(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0803966666667, -77.07165)"
1/8/2018,16:49:00,MCP,"4th district, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,13623 GEORGIA AVE,39.08039667,-77.07165,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,TOYOTA,COROLLA,SILVER,Citation,16-101(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0803966666667, -77.07165)"
1/8/2018,10:54:00,MCP,"3rd district, Silver Spring",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 64 MPH IN A POSTED 55 MPH ZONE,N/B COLUMBIA PIKE @ BRIGGS CHANEY RD,39.095385,-76.93808667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,MERZ,CLA250,WHITE,Citation,21-801.1,Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.095385, -76.9380866666667)"
1/8/2018,11:14:00,MCP,"3rd district, Silver Spring","FAILURE OF MV OPER. DRIVING ON HWY TO BE IN POSS.OF, CARRY IN MV EVID. OF REQ'D SECURITY FOR MV",N/B COLUMBIA PIKE @ BRIGGS CHANEY RD,39.09517333,-76.93806167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,INFINITI,QX80,WHITE,Citation,17-104.2(b1),Transportation Article,No,WHITE,F,FULTON,MD,MD,Q - Marked Laser,"(39.0951733333333, -76.9380616666667)"
